job_id,job_title,job_organization_name,job_snippet_text,source_url,job_search_term,location_search_term,full_url
383d184842b8ea5ea857da7fa39bef3c,"Drivers Class A CDL - Refrigerated, Safest in Trucking!",C.R. England,"b'England is seeking drivers with a safe and clean record that can handle 18 wheels, 40 tons, and 400 horsepower. If that sounds anything like you--Apply Now. You Get ALL the Benefits  Weekly Pay...'","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/ek/l/AALtmGgWm_ETxoNQRFelaS144cbCGJTwLsSMRkDKjrbzN5ty5W9AKhhF9jjZK8d3FW41OlvkHv7wPDVyu6T9iwVBIdJzJZe4Kx55B0pblUL3kr1dsM_z5I78681BrzTCmVU-h0sEhkU9stBXOk7HHZ4O1c0DOQ_oIIMsY3ThM1eclg-YYJH5nJSH0MgEbB1j
bc3f293a7d0ed02825cd6e03a7a86f32,Trailer / SRI Reapir Specialist,U-Haul,"b'...clean record + Forklift certified (can be sponsored by U-Haul) Work Environment:The work involves moderate risks or discomforts which require special safety precautions, e.g. working around moving...'","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAITQr-8qsN9V0xZTZlt23PkCRHibNi1cLbenBWYIedljS7UMpFpNZyN26BQ4ukyan6h4V3MWSTVKiDS6xL52S-Sea5xjsqwPeRwA0zdVJVCAJjwKfRmZMOR1rv9wkP9USC0qG60cFsfFtqisH10j59kG4h86VQt8Tn_NZsVcbVmchc4FNnVtwosxqaabYqW
999b3e754072db104b28e22e29a9292c,Parts Foreman,U-Haul,b'...clean record + Excellent organizational skills + Computer-savvy + Forklift certified + Excellent communication skills Work Environment:The work involves moderate risks or discomforts which require...',"https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AALzbAEqXNYoPqz4WT64PkLHjWmWpO2oqNASieLUGZcVy71kYQagb_n7a11ffNRf6JdnD4WpOTVTQEX15mRqNs0pDytpAPc3vKuYcdJqokQwOtlZ-TRjIi1blry796M1kLzc-tJrnvw6raoG8-Y86qmTIioecnasV95jGvXda419rcEEoxjKf6b1Yq5wJ9n1
8f54f1cec32e8b66289e0675c2cbc320,Class A Driver,Conversyn Transportation Solutions,"b'We are seeking truck drivers that have a safe and clean record * Must live within 30 miles of McCook, IL * NO MANUAL RESTRICTIONS! RESPONSIBILITIES & JOB DETAILS * Deliver for dedicated account'","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAIxeQP82Syu5qDn_vAoOtWaScFWZJLZfHhsnBY-olcCeA7_1seGTlqj-mX-k5IWGC7PFSM5ELTfxq43qVpySvE2w8hlgO1wpQ54-d3r4xzC4-nKFNJS8522gc9nmdhljJKngKA6sVrw0GK5zvH2I_P0CcLM6atL62V4RsRKYJQ9NfWpYJ46oQDvdnDnmb9J
b25d05a5a7073ed213273536318a9201,CDL A-Class Driver,Go Neal Logistics Incorporated,"b'...clean record and good inspections Now Available: - 2016/2017/2019/2020/2021 Freightliner Cascadia, Kw T680, Volvo, Peterbilt - 2019/2020/2021 Trailers -Lease to purchase -Company drivers -Owner...'","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAIDkA0iN9Kby5zEZj2HhKboFPmrSIYfipE1T6HJyLoqH_G0nnvWxzkXdO2SAuK9hZzOhCaUUeGwL_ZybLRL32x3wPLT7-2bT-atXgTG0QRHDPiYqmoeT67Y2vq9DHe4D16f6YpRElzGxCtEP187y4DhhIy9hmtxaOmIEyJAFfDKLI_OnWT2U5hMPoPivjk1
24464378f8d87e05adc16cc007ff2dd7,Customer Service Supervisor Medical Equipment,Rotech Healthcare Inc.,"b""Valid driver's license with a clean record in the state in which you reside (where applicable) * Employment is contingent upon a drug screening test and background investigation Skills * Effective...""","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AALuiBFtXC1y2mBZAJjYWFXOQowe3sfAvLrE3bd0e2UgUZsqnly3mC0HH_YC4_ejHUcczeaQb5Vo7xC9wcW67iQKrACB4ZnjrRAzii1q1XIXblOBfRRbiYCObSX6izsd9HEsQTlUwovkjogXELRnPLEj_pSXt2rcaMvIsltK4Opcn-FKLXcd9TMUnpVi-m_W
d8e5890a019595dbcf21ef21842130e3,Refrigeration Repair Technician,Mr. Appliance of Barrington,"b""Valid Driver's License with clean record * Must be at least 18 years of age * Proficiency to navigate tablet based technology * The ability to safely lift up to 50 pounds on a repetitive basis, and...""","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAJTfawoSrOn4h4iqiqNUelst0HlKqakOl-wguH3VhdrC4RlndncIGOXV1Kq6wbS-Y4ObEN_0FbchiDcewDHhZl7B59aqpu6EWPCDZUo5_GZXXAhF05eP_zB6EMHfCPdE5bQht0HP_o9ZhOW9nwv4CzHwN2oKGNf7dq0pvv3wZopUT6zDO7CHaeXzJw_j0IX
d3a77f0cafe6dfe7b553be82babc67f4,Class A Local Route Driver,Christ Panos Foods,"b'Must have Class ""A"" license with a clean record'","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAKiQ6iXtmUzjVxDmztqcqXiBLFEJ8BipjDVloUBLhHAo1t7U36GejTdWQQjs1Nw93GVIqQqBRgQiCEYWPYc9fFdGdSBl43OW5cU4O8gFjmqwlPXzw77DuUBwVG20H_lrJcloIkWiWdVt_RRcl2LUsGIBAWkej7K6Fj1f2Qap3HQSNPgGW8KlxpVVMhoRSEQ
a5c93a34996af970d0f34918aeb9a219,"Neurologist Needed In Marion, Illinois!",HCA,b'Clean record and excellent references Benefits May Include: * Competitive salary or income guarantee * Relocation Expenses * Comprehensive benefit package if employed * Potential commencement bonus',"https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAIj7WG6zK9T9uKoPYHOnyzI5GORB83XeFeypRt_xaAO5NPggdYn6VYyhLu0bw4ZJsHXd1nvqQZa5BbH8YPa7PGtXTbVZEkkGfxCHuigs7igfYS5u5i5fBJDWWizvw_kjj4OYYG-UG358JtHEusoRw68TK2dri-mcZn4pmpYVrXRzN29snOWlz97HuBQ4z_D
57a336dbbd7b0ba5ec32767a0b5790db,Truck Driver - CDL A or B,Avalon Petroleum Company,"b'Clean record * Tanker and Hazmat endorsement Union company - Teamsters Local 301 Excellent Wage and Benefits. * Medical, Dental, Pension Plan * Dues paid by Avalon * Compensation based on experience...'","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAI-dV_B1PkQOhlFYi5FAfpVsscHQteKDFJrjz2YKQHNPKMRKna3JXE6HWRjieqXIEeh9dgt0MTOeE0OKMDQQsuS0touq8vYArUXA19AFXz6jCyFj81xK88IvuvacwRKbqJaUuWWNFYVMJk9BA3upGXlU9AThg5uiUBkv8V18iykqPOnG-CZGzWAneGG7To5
dd3f495ab7540e11cca50ab781c04f81,Owner Operators You Can Now Book Your Own Loads!,A2C LOGISTICS CO,b'...Clean record - no major moving violations in the last 3 years',"https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/ek/l/AALlJ92Jga3QmVU850_NuXCaN1W1xVCVEER3c9qZA9fYAzC6jMnmeuMvXIkhFSqivRMxjhwPOzq6BpbU5fKTGBMfM4NnjEC-CFnyuDK1k8kPrOHa4BeEm8DU_MdQvl5Vvi_-pUsid5G4bc-jzYY9T0we2myeENZHI1DHcjTLGpjl6Fv1w3ZSgxw-gwwFgZ4
751a533e584a7e173f4bfde5948171e2,Service Tech (yard),WillScot,"b""Maintain a clean and organized work area. * Operate a company vehicle safely and maintains a valid driver's license and excellent driving record free from points Fleet & Efficient Use of Resources""","https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/k/l/AAJCao56mR5R4NQsfIU8M8zE8g-nPzzP3xZhzfnRP9DTFUJDuqrpkVc6hoV--QQmcdip8bMR2KQGb9HW6GTKj4RMWzoU98Rc8HiFRTWtvh87r_HT5SWrnyvgsyNdIZ-7QB9-BXh0u3Hyf7yunbEGfGR2H7cLFhj1JlY8rACJ3brzJDn3Jw6I65oSgqlvMl4
6424ba2f7cc00cd2c9758dce97542ab8,Neurologist Needed in Illinois for Solo Practice - Great Referral Sources Equal High Compensation...,"Juno Group, Inc.",b'...Clean record and excellent references Benefits * Competitive salary or income guarantee * Relocation Expenses * Comprehensive benefit package if employed * Potential commencement bonus * Potential...',"https://www.ziprecruiter.com/candidate/search?search=""clean record""&location=illinois","""clean record""",illinois,https://www.ziprecruiter.com/ek/l/AAJnpQlrSa-M_-AG8L8WTHlcbK_-KnowRJEIfJeN7naKeqc-s1_mqAI__clNqWxk99AkNlGRJQY0rHDJRNF9hCh6uoqCRCujOmCNsnO6OF7vMUZVg8hgjKFyWCcR-aR8NH-BSiXwm-BIeFHmtHrJN6FckOTj2suKo2GvB6atY7cQG96jjFDZ-csqwDnsgew
